author,title,genre,token_count,sentence_count,avg_sentence_length,avg_syllables
"Nordau, Max",Paradoxe,Kultur und Kunst,196,9,21.777777777777782,1.7420343137254901
"Nordau, Max",Die konventionellen Lügen der Kulturmenschheit,Kultur und Kunst,1459,77,18.948051948051948,1.8386454183266931
"Rüttenauer, Benno",Studienfahrten,"Natur, Wissen und Reise",838,52,16.115384615384613,2.0957324106113036
"Simmel, Georg",Kant und Goethe,Philosophie und Religion,4530,115,39.39130434782609,1.9615384615384615
"Simmel, Georg",Die Religion,Philosophie und Religion,3539,85,41.635294117647064,2.0565723793677204
"Simmel, Georg",Das Abenteuer,Philosophie und Religion,5522,154,35.857142857142854,1.7601880877742946
"Seume, Johann Gottfried",Spaziergang nach Syrakus im Jahre 1802,"Natur, Wissen und Reise",1290,53,24.339622641509433,1.7008797653958945
"Reventlow, Franziska zu",Erziehung und Sittlichkeit,Geschichte,1563,52,30.05769230769231,1.908382959230417
"Oeser, Hermann","Des Herrn Archemoros Gedanken über Irrende, Suchende und Selbstgewisse",Kultur und Kunst,192,20,9.6,1.8506588579795022
"Schuyler, Eugen",Erinnerungen an den Grafen Leo Tolstoi,Biographie,1763,66,26.71212121212121,1.749379652605459
"Ottwalt, Ernst",Deutschland erwache!,Geschichte,1581,71,22.267605633802816,1.9325153374233128
"Neumeyer, Friedrich",Der Mühldorfer Hexenprozeß der 16jährigen Dienstmagd Marie Pauer von der Katharinenvorstadt Anno 1749/1750,Kultur und Kunst,1800,84,21.428571428571427,2.0675675675675675
"Okakura, Kakuzo",Das Buch vom Tee,Geschichte,1630,77,21.168831168831172,1.9666666666666666
"Schwab, Gustav",Schiller's Leben,Biographie,767,27,28.407407407407412,1.859002169197397
"Ossendowski, Ferdinand",Schatten des dunklen Ostens,Geschichte,731,34,21.5,1.752771618625277
"Schurig, Arthur",Die Eroberung von Mexiko durch Ferdinand Cortes,Biographie,16092,837,19.225806451612907,1.7977513227513227
"Nansen, Fridtjof",Auf Schneeschuhen übers Gebirge,"Natur, Wissen und Reise",12414,851,14.587544065804934,1.8755364806866952
"Schulze-Smidt, Bernhardine","Bürgermeister Johann Smidt, das Lebensbild eines Hanseaten",Biographie,346,14,24.714285714285715,1.933184855233853
"Schopenhauer, Johanna",Jugendleben und Wanderbilder,Biographie,1087,27,40.25925925925926,1.7081545064377683
"Musil, Robert",Nachlaß zu Lebzeiten,Kultur und Kunst,446,16,27.875,1.811634349030471
"Rodenberg, Julius",Studienreisen in England,"Natur, Wissen und Reise",491,16,30.6875,1.7506567425569177
"Schurig, Arthur","Francisco Pizarro, der Eroberer von Peru",Biographie,1533,82,18.695121951219512,1.8829787234042554
"Mühsam, Erich",Unpolitische Erinnerungen,Kultur und Kunst,1073,35,30.65714285714286,1.969387755102041
"Rodenberg, Julius",Verschollene Inseln,"Natur, Wissen und Reise",1717,57,30.12280701754386,1.86223440712817
"Paquet, Alfons",Erzählungen an Bord,"Natur, Wissen und Reise",1772,79,22.430379746835442,1.5954653937947494
"Mulford, Prentice",Der Unfug des Lebens,Kultur und Kunst,758,28,27.07142857142857,1.8642384105960266
"Mulford, Prentice",Das Ende des Unfugs,Kultur und Kunst,1105,37,29.864864864864863,1.9997174343034756
"Scheler, Max",Die Ursachen des Deutschenhasses,Philosophie und Religion,153,6,25.5,1.9096341905106846
"Keyserling, Graf Hermann",Philosophie als Kunst,Philosophie und Religion,159,3,53.0,1.737984496124031
"Mauthner, Fritz",Der Atheismus und seine Geschichte im Abendlande. 1. Band,Geschichte,571,19,30.052631578947373,1.833653230966091
"Machiavelli, Niccolò",Mensch und Staat,Geschichte,1451,54,26.87037037037037,1.4635416666666667
"Musil, Robert",Essays,Kultur und Kunst,6680,241,27.717842323651446,1.7368122518434486
"Löwen, Johann Friedrich",Geschichte des deutschen Theaters (1766) und Flugschriften über das Hamburger Nationaltheater (1766 und 1767),Geschichte,140,7,20.0,2.0702087286527515
"Laukhard, Friedrich Christian",Magister F. Ch. Laukhards Leben und Schicksale - Band II,Geschichte,2146,72,29.805555555555557,1.8627777777777779
"Seume, Johann Gottfried",Mein Leben,Biographie,3038,92,33.02173913043478,1.8214723926380367
"Laukhard, Friedrich Christian",Magister F. Ch. Laukhards Leben und Schicksale - Band I,Geschichte,1864,54,34.51851851851852,1.7998204667863555
"Schlenther, Paul",Gerhart Hauptmann,Biographie,152,14,10.857142857142858,1.8096479791395046
"Schneider, Thekla",Schloß Meersburg am Bodensee,Biographie,546,27,20.222222222222218,1.853625170998632
"Sacher-Masoch, Leopold",Katharina II.,Biographie,938,24,39.083333333333336,1.8755903554561273
"Schliemann, Heinrich",Selbstbiographie,Biographie,3003,80,37.5375,1.574109875946512
"Rousseau, Jean Jacques","Rousseau's Bekenntnisse, Teil 2",Biographie,2069,74,27.959459459459463,1.8901734104046244
"Schleich, Carl Ludwig",Besonnte Vergangenheit,Biographie,1227,40,30.675,1.8215271389144434
"Schleich, Carl Ludwig",Erinnerungen an Strindberg nebst Nachrufen für Ehrlich und von Bergmann,Biographie,1849,73,25.328767123287676,1.7937219730941705
"Rousseau, Jean Jacques","Rousseau's Bekenntnisse, Teil 1",Biographie,1165,52,22.403846153846153,1.8839103869653768
"Saint-Simon, Louis de Rouvroy duc de",Die Memoiren des Herzogs von Saint-Simon. Zweiter Band,Biographie,2040,83,24.578313253012052,1.837573385518591
"Saint-Simon, Louis de Rouvroy duc de",Die Memoiren des Herzogs von Saint-Simon. Erster Band,Biographie,3582,92,38.93478260869565,1.8825722273998136
"Schmitz, Oscar",Casanova und andere Gestalten aus der großen Welt,Biographie,5129,188,27.28191489361702,1.7041351193942924
"Rosen, Erwin",Der Deutsche Lausbub in Amerika - Teil 3,Biographie,172,7,24.57142857142857,1.6670428893905191
"Sauerlandt, Max",Michelangelo,Biographie,3543,140,25.307142857142853,1.7941952506596306
"Mühsam, Erich",Namen und Menschen. Unpolitische Erinnerungen,Kultur und Kunst,1352,48,28.16666666666667,1.8823529411764706
"Moszkowski, Alexander",Unglaublichkeiten,Kultur und Kunst,507,26,19.5,2.052287581699346
"Mohr, Adrian",Was ich in Island sah!,"Natur, Wissen und Reise",196,4,49.0,1.8364779874213837
"Lewald, Fanny",Italienisches Bilderbuch,"Natur, Wissen und Reise",3644,160,22.775,1.9211908931698773
"Lax, Louis",Bilder aus den Niederlanden. Zweiter Band,"Natur, Wissen und Reise",1375,63,21.825396825396822,1.9567901234567902
"Lax, Louis",Bilder aus den Niederlanden. Erster Band,"Natur, Wissen und Reise",9863,452,21.820796460176986,1.6774638180565127
"Laube, Heinrich",Reisenovellen - Band 3,"Natur, Wissen und Reise",1377,46,29.93478260869565,1.986784140969163
"Kurz, Isolde",Wandertage in Hellas,"Natur, Wissen und Reise",2098,89,23.57303370786517,1.8635689569945626
"Moszkowski, Alexander",Entthronte Gottheiten,Kultur und Kunst,222,7,31.714285714285715,1.781437125748503
"Moszkowski, Alexander",Das Geheimnis der Sprache,Kultur und Kunst,205,7,29.285714285714285,2.2857142857142856
"Keyserling, Graf Hermann",Das Reisetagebuch eines Philosophen. Zweiter Band,Philosophie und Religion,349,16,21.8125,1.7763280521901212
"Keyserling, Graf Hermann",Das Reisetagebuch eines Philosophen. Erster Band,Philosophie und Religion,608,27,22.51851851851852,1.8077682685977616
"Eucken, Christoph",Mensch und Welt,Philosophie und Religion,207,8,25.875,1.9270386266094421
"Eucken, Christoph",Einführung in die Hauptfragen der Philosophie,Philosophie und Religion,1699,49,34.673469387755105,1.7960526315789473
"Eucken, Christoph",Der Wahrheitsgehalt der Religion,Philosophie und Religion,572,17,33.64705882352941,1.7912087912087913
"Lang, Karl Heinrich von",Aus der bösen alten Zeit,Geschichte,586,27,21.703703703703702,1.7334754797441365
"Katscher, Leopold",Das Postwesen einst und jetzt,Geschichte,1098,37,29.675675675675677,1.788877788877789
"Rosen, Erwin",Der Deutsche Lausbub in Amerika - Teil 2,Biographie,338,17,19.88235294117647,1.7196713388110199
"Ringelnatz, Joachim",Als Mariner im Krieg,Biographie,7944,469,16.93816631130064,1.8492257538712307
"Eucken, Christoph",Der Sozialismus und seine Lebensgestaltung,Philosophie und Religion,300,8,37.5,1.8150351541373715
"Jacobi, Johann Georg Friedrich","Das Buch vom Aberglauben, Mißbrauch, und falschen Wahn",Geschichte,291,9,32.333333333333336,1.6909871244635193
"Huch, Ricarda",Die Romantik II,Geschichte,986,29,34.0,1.7568627450980392
"Huch, Ricarda",Die Romantik I,Geschichte,227,8,28.375,1.7747068676716917
"Rosen, Erwin",Der Deutsche Lausbub in Amerika - Teil 1,Biographie,450,19,23.684210526315788,1.7763696627022811
"Kopisch, August",Entdeckung der Blauen Grotte auf der Insel Capri,"Natur, Wissen und Reise",11999,442,27.14705882352941,1.8546511627906976
"Richthofen, Manfred von",Der rote Kampfflieger,Biographie,433,32,13.53125,1.9350832627716625
"Montgomery-Silfverstolpe, Malla",Das romantische Deutschland,Kultur und Kunst,16678,1002,16.644710578842314,1.8579881656804733
"Richter, Ludwig",Lebenserinnerungen eines deutschen Malers,Biographie,1937,53,36.54716981132076,1.8264299802761341
"Montaigne, Michel de",Essays,Kultur und Kunst,4458,164,27.18292682926829,1.739795918367347
"Kossak, Ernst",Schweizerfahrten,"Natur, Wissen und Reise",1370,32,42.8125,1.7088364434687158
"Meyer, Conrad Ferdinand",Rezensionen und Aufsätze,Kultur und Kunst,840,34,24.705882352941174,1.725090909090909
"Kisch, Egon Erwin",Die Abenteuer in Prag,"Natur, Wissen und Reise",5776,199,29.025125628140703,1.5861299807360845
"Kisch, Egon Erwin",Aus Prager Gassen und Nächten,"Natur, Wissen und Reise",1285,59,21.779661016949152,1.7843137254901962
"Moszkowski, Alexander",Das Buch der 1000 Wunder,Kultur und Kunst,698,32,21.8125,1.7216396568160153
"Mereschkowski, Dmitri",Dostojewski,Kultur und Kunst,4013,119,33.72268907563025,1.8873873873873874
"Milow, Stephan",Arnold Frank,Kultur und Kunst,967,27,35.814814814814824,1.7707317073170732
"Mackay, John Henry",Die Anarchisten,Kultur und Kunst,556,25,22.24,1.9226361031518624
"Meßner, Paul",Drei deutsche Böhmerwalddichter,Kultur und Kunst,1149,29,39.620689655172406,1.799342105263158
"Messer, Max",Wiener Bummelgeschichten,Kultur und Kunst,3375,153,22.058823529411764,1.8405797101449275
"Bleibtreu, Karl",Der Aufgang des Abendlandes,Philosophie und Religion,306,19,16.105263157894736,1.974102413184226
"Meißner, Alfred",Ich traf auch Heine in Paris,Kultur und Kunst,3600,192,18.75,1.9877622377622377
"Mackay, John Henry",Der Freiheitssucher,Kultur und Kunst,771,21,36.714285714285715,1.7593856655290103
